"","X","LAD17CD","CTRY11NM","areaName","RGN11NM","Geography","area","pop","density","Name","All.ages","Under18","y18to24","y25to34","y35to44","y45to54","y55to64","y65to74","y75","gdphead2019","geography","white","asian","black"
"66",66,"E07000063","England","Lewes","South East","Non-metropolitan District",292,103525,354,"Lewes",103525,0.192562183047573,0.0633663366336634,0.0948756339048539,0.109654672784352,0.139666747162521,0.140217338807051,0.132827819367303,0.126829268292683,22299,"Lewes",0.964718672437488,0.0143586798219524,0.00426657914709442
"67",67,"E07000065","England","Wealden","South East","Non-metropolitan District",833,162733,195,"Wealden",162733,0.192210553483313,0.0593979094590526,0.09165934383315,0.10313826943521,0.141612334314491,0.149711490601169,0.136684016149152,0.125586082724463,19984,"Wealden",0.972400362622973,0.0115434979686398,0.00230332740153779
"68",68,"E07000066","England","Basildon","East of England","Non-metropolitan District",110,187558,1705,"Basildon",187558,0.235884366435982,0.0716631655274635,0.134310453299779,0.131916527154267,0.134891606862944,0.119403064652001,0.0920621887629427,0.0798686273046204,34973,"Basildon",0.921528736883729,0.0273127904777733,0.0268485991163172
"69",69,"E07000067","England","Braintree","East of England","Non-metropolitan District",612,153091,250,"Braintree",153091,0.213846666361837,0.0652487736052413,0.115571784102266,0.122031994042759,0.146357395274706,0.131209542037089,0.112906702549464,0.0928271420266377,26584,"Braintree",0.965128769954584,0.0135840744064616,0.00620733730385358
"70",70,"E07000070","England","Chelmsford","East of England","Non-metropolitan District",339,179549,530,"Chelmsford",179549,0.213696539663267,0.068053846025319,0.126951417161889,0.133434327119616,0.142362252087174,0.122078095673047,0.10245114147113,0.0909723807985564,32346,"Chelmsford",0.937383399679163,0.029481314241578,0.0121858475432238
"71",71,"E07000071","England","Colchester","East of England","Non-metropolitan District",328,197200,601,"Colchester",197200,0.207555780933063,0.109589249492901,0.145598377281947,0.126338742393509,0.128737322515213,0.10948275862069,0.093341784989858,0.0793559837728195,26202,"Colchester",0.919993759894612,0.0367183979107203,0.0148780290511573
"72",72,"E07000072","England","Epping Forest","East of England","Non-metropolitan District",339,132175,390,"Epping Forest",132175,0.213126536788349,0.0672441838471723,0.121898997541139,0.127974276527331,0.14103272177038,0.132604501607717,0.100480423680726,0.0956383582371856,35349,"Epping Forest",0.904010139660995,0.0475055952638799,0.0192846084117472
"73",73,"E07000076","England","Tendring","East of England","Non-metropolitan District",336,147353,438,"Tendring",147353,0.183776373741967,0.0627812124625898,0.0954307004268661,0.0890039564854465,0.124076197973574,0.14598277605478,0.156298141198347,0.14265064165643,16549,"Tendring",0.975059399629114,0.00923591794158553,0.00314383402874363
"74",74,"E07000078","England","Cheltenham","South West","Non-metropolitan District",47,116043,2490,"Cheltenham",116043,0.201821738493489,0.0883120912075696,0.127952569306205,0.130684315296916,0.128926346268194,0.123083684496264,0.101402066475358,0.0978171884560034,33143,"Cheltenham",0.941969377527391,0.0317543980921439,0.00622991048283966
"75",75,"E07000081","England","Gloucester","South West","Non-metropolitan District",41,129709,3199,"Gloucester",129709,0.221942964636224,0.0861775204496218,0.131748760687385,0.130522939811424,0.135696058099284,0.123329915426069,0.0910808039534651,0.0795010369365271,28397,"Gloucester",0.890194596016041,0.0479833672999803,0.0286470317533364
"76",76,"E07000082","England","Stroud","South West","Non-metropolitan District",461,120903,263,"Stroud",120903,0.200119103744324,0.0618760493949695,0.100287006939447,0.113487671935353,0.151220399824653,0.145662225089535,0.124173924551086,0.103173618520632,27240,"Stroud",0.978630773459598,0.00665904113354437,0.00230539373464918
"77",77,"E07000084","England","Basingstoke and Deane","South East","Non-metropolitan District",634,177760,280,"Basingstoke and Deane",177760,0.221799054905491,0.0674223672367237,0.12134900990099,0.137561881188119,0.147024077407741,0.12865099009901,0.0966415391539154,0.0795510801080108,44484,"Basingstoke and Deane",0.928044863199423,0.0400181169136884,0.011376706654986
"78",78,"E07000085","England","East Hampshire","South East","Non-metropolitan District",514,123838,241,"East Hampshire",123838,0.203515883654452,0.0635265427413233,0.0941310421679937,0.107955554837772,0.147515302249713,0.146756246063405,0.121998094284468,0.114601334000872,26140,"East Hampshire",0.963324337416096,0.016080202062141,0.00447200885751851
"79",79,"E07000086","England","Eastleigh","South East","Non-metropolitan District",80,135520,1701,"Eastleigh",135520,0.215023612750885,0.0651416765053129,0.125855962219599,0.131124557260921,0.137057260920897,0.128305785123967,0.104250295159386,0.0932408500590319,37549,"Eastleigh",0.945263141079402,0.0298724430706316,0.00483230696730805
"80",80,"E07000087","England","Fareham","South East","Non-metropolitan District",74,116338,1567,"Fareham",116338,0.188141449913184,0.0657394832298991,0.108623149787688,0.113110075813578,0.142498581718785,0.142696281524523,0.120674242294005,0.118516735718338,30099,"Fareham",0.966777497961122,0.0149398195033205,0.0031994694437225
"81",81,"E07000090","England","Havant","South East","Non-metropolitan District",56,126339,2267,"Havant",126339,0.198141508164541,0.0724479376914492,0.114707255875066,0.104520377713928,0.130973017041452,0.141919755578246,0.121538084043724,0.115752063891593,25274,"Havant",0.970286036259985,0.0118242683371449,0.0032150077889364
"82",82,"E07000091","England","New Forest","South East","Non-metropolitan District",752,179649,239,"New Forest",179649,0.176533128489443,0.0593546304182044,0.0905543587773937,0.0965493824068044,0.131823722926373,0.149218754348758,0.147125784168017,0.148840238465007,29841,"New Forest",0.973223696886582,0.00943545919234736,0.00346816878421417
"83",83,"E07000093","England","Test Valley","South East","Non-metropolitan District",628,127163,203,"Test Valley",127163,0.209463444555413,0.0594197997845285,0.109481531577582,0.120152874656936,0.145781398677288,0.136470514221904,0.114868318614691,0.104362117911657,31497,"Test Valley",0.957851509476108,0.0203439921648138,0.00418392068592244
