Código do Município,Sigla da Unidade da Federação,"Municípios e classes de tamanho
da população dos municípios (habitantes)",Urbana,Rural,,,,,,,
4106571,PR,Cruzeiro do Iguaçu,61.3,38.7,,,,,,,
4106704,PR,Cruzeiro do Sul,74.6,25.4,,,,,,,
4106852,PR,Cruzmaltina,47.5,52.5,,,,,,,
5206602,GO,Cumari,81.6,18.4,,,,,,,
2801900,SE,Cumbe,59.6,40.4,,,,,,,
4204756,SC,Cunhataí,30.2,69.8,,,,,,,
3120839,MG,Cuparaque,83.0,17.0,,,,,,,
2203230,PI,Currais,19.6,80.4,,,,,,,
2203271,PI,Curral Novo do Piauí,28.3,71.7,,,,,,,
2505303,PB,Curral Velho,56.3,43.7,,,,,,,
2203255,PI,Curralinhos,31.8,68.2,,,,,,,
5103437,MT,Curvelândia,59.5,40.5,,,,,,,
1600212,AP,Cutias,52.0,48.0,,,,,,,
5206701,GO,Damianópolis,56.3,43.7,,,,,,,
2505352,PB,Damião,46.5,53.5,,,,,,,
5206800,GO,Damolândia,79.4,20.6,,,,,,,
4306304,RS,David Canabarro,40.8,59.2,,,,,,,
5206909,GO,Davinópolis,68.1,31.9,,,,,,,
4306320,RS,Derrubadas,28.2,71.8,,,,,,,
3121308,MG,Descoberto,85.3,14.7,,,,,,,
3121506,MG,Desterro do Melo,46.1,53.9,,,,,,,
4306353,RS,Dezesseis de Novembro,23.3,76.7,,,,,,,
4107124,PR,Diamante do Sul,40.0,60.0,,,,,,,
4306379,RS,Dilermando de Aguiar,32.3,67.7,,,,,,,
3121704,MG,Diogo de Vasconcelos,28.6,71.4,,,,,,,
5207105,GO,Diorama,60.8,39.3,,,,,,,
3513850,SP,Dirce Reis,75.7,24.3,,,,,,,
2802007,SE,Divina Pastora,48.5,51.5,,,,,,,
3121902,MG,Divinésia,66.1,34.0,,,,,,,
3122108,MG,Divino das Laranjeiras,83.2,16.8,,,,,,,
3201803,ES,Divino de São Lourenço,38.6,61.4,,,,,,,
5208301,GO,Divinópolis de Goiás,70.4,29.7,,,,,,,
4306429,RS,Dois Irmãos das Missões,50.7,49.3,,,,,,,
4306452,RS,Dois Lajeados,47.7,52.3,,,,,,,
3514205,SP,Dolcinópolis,93.0,7.0,,,,,,,
3122470,MG,Dom Bosco,53.8,46.2,,,,,,,
3122603,MG,Dom Joaquim,64.4,35.6,,,,,,,
2910206,BA,Dom Macedo Costa,45.5,54.5,,,,,,,
4306551,RS,Dom Pedro de Alcântara,29.1,70.9,,,,,,,
3122801,MG,Dom Viçoso,33.3,66.7,,,,,,,
2203420,PI,Domingos Mourão,22.5,77.5,,,,,,,
4205100,SC,Dona Emma,50.2,49.8,,,,,,,
4306700,RS,Dona Francisca,63.1,36.9,,,,,,,
3123304,MG,Dores do Turvo,45.5,54.5,,,,,,,
3123403,MG,Doresópolis,78.6,21.4,,,,,,,
3123502,MG,Douradoquara,67.0,33.0,,,,,,,
4205159,SC,Doutor Pedrinho,56.0,44.0,,,,,,,
4306759,RS,Doutor Ricardo,34.1,65.9,,,,,,,
2505808,PB,Duas Estradas,78.0,22.0,,,,,,,
1707306,TO,Dueré,66.5,33.5,,,,,,,
5207352,GO,Edealina,68.8,31.2,,,,,,,
2203602,PI,Eliseu Martins,81.9,18.1,,,,,,,
3514924,SP,Elisiário,91.6,8.4,,,,,,,
2505907,PB,Emas,64.3,35.7,,,,,,,
3514957,SP,Embaúba,85.0,15.0,,,,,,,
3515129,SP,Emilianópolis,82.7,17.3,,,,,,,
4306924,RS,Engenho Velho,39.2,60.8,,,,,,,
4205175,SC,Entre Rios,30.8,69.3,,,,,,,
4107538,PR,Entre Rios do Oeste,67.3,32.7,,,,,,,
4306957,RS,Entre Rios do Sul,69.2,30.8,,,,,,,
4306973,RS,Erebango,65.9,34.1,,,,,,,
4205191,SC,Ermo,30.2,69.8,,,,,,,
4307054,RS,Ernestina,54.1,45.9,,,,,,,
4205209,SC,Erval Velho,65.3,34.7,,,,,,,
4307401,RS,Esmeralda,67.2,32.8,,,,,,,
4307450,RS,Esperança do Sul,25.8,74.2,,,,,,,
4107520,PR,Esperança Nova,38.2,61.8,,,,,,,
4107546,PR,Espigão Alto do Iguaçu,35.2,64.8,,,,,,,
3124401,MG,Espírito Santo do Dourado,38.0,62.0,,,,,,,
3515194,SP,Espírito Santo do Turvo,85.5,14.5,,,,,,,
3124609,MG,Estrela Dalva,72.1,27.9,,,,,,,
3124708,MG,Estrela do Indaiá,79.0,21.0,,,,,,,
3515301,SP,Estrela do Norte,79.0,21.0,,,,,,,
5207501,GO,Estrela do Norte,88.3,11.7,,,,,,,
4307815,RS,Estrela Velha,32.2,67.8,,,,,,,
4307831,RS,Eugênio de Castro,52.9,47.1,,,,,,,
3125002,MG,Ewbank da Câmara,92.2,7.8,,,,,,,
4307864,RS,Fagundes Varela,50.1,49.9,,,,,,,
3125200,MG,Fama,64.5,35.5,,,,,,,
3125309,MG,Faria Lemos,69.1,30.9,,,,,,,
4107553,PR,Farol,58.1,41.9,,,,,,,
1707553,TO,Fátima,82.4,17.6,,,,,,,
4308052,RS,Faxinalzinho,49.6,50.4,,,,,,,
4308078,RS,Fazenda Vilanova,54.5,45.6,,,,,,,
2702702,AL,Feliz Deserto,80.1,19.9,,,,,,,
4107702,PR,Fênix,83.2,16.8,,,,,,,
3125804,MG,Fernandes Tourinho,66.5,33.5,,,,,,,
2605459,PE,Fernando de Noronha,100.0,-,,,,,,,
2403756,RN,Fernando Pedroza,85.4,14.6,,,,,,,
3515657,SP,Fernão,54.4,45.6,,,,,,,
5003900,MS,Figueirão,52.3,47.8,,,,,,,
5103809,MT,Figueirópolis D'Oeste,53.0,47.1,,,,,,,
4107850,PR,Flor da Serra do Sul,34.8,65.2,,,,,,,
4205357,SC,Flor do Sertão,20.7,79.4,,,,,,,
3515806,SP,Flora Rica,80.9,19.1,,,,,,,
3515905,SP,Floreal,81.2,18.8,,,,,,,
2203800,PI,Flores do Piauí,45.5,54.5,,,,,,,
2203859,PI,Floresta do Piauí,34.7,65.3,,,,,,,
4308250,RS,Floriano Peixoto,14.5,85.5,,,,,,,
4108106,PR,Flórida,91.3,8.7,,,,,,,
