"","division_eng_name","date","win7_Rt_estimate","win7_Rt_estimate_std","win7_stay_at_home","win7_school_close","win7_childcare_close","win7_shop_close","win7_restaurant_close","win7_bar_close","win7_entertainment_close","win7_cultural_close","win7_sports_indoor_close","win7_sports_outdoor_close","win7_gathering_inside_10lower","win7_gathering_outside_10lower","win7_gathering_outside_10over","win7_gathering_inside_10over","win7_worship_close","cv","log_win7_Rt_estimate"
"144","Akita","2020-08-08",3.40600738710544,0.826078130509986,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.242535625036333,1.22554075108883
"145","Akita","2020-05-17",NA,4.97750594583947,0,1,1,1,0.5,1,1,0,0,0,1,1,1,1,1,NA,NA
"146","Akita","2020-07-04",NA,4.99999999999486,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1,0,NA,NA
"147","Akita","2020-07-23",NA,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"148","Akita","2020-07-29",NA,4.89274671328206,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"149","Akita","2020-05-18",NA,4.9858432967814,0,1,1,1,0.5,1,1,0,0,0,1,1,1,1,1,NA,NA
"150","Akita","2020-08-07",2.7175357349396,0.70166470960964,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.258198889747161,0.999725489858543
"151","Akita","2020-08-14",2.01488125513235,0.439683136571031,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.218217890235993,0.700560263206769
"152","Akita","2020-07-06",NA,4.99999999999521,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"153","Akita","2020-07-03",NA,4.99999999999526,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1,0,NA,NA
"154","Akita","2020-06-09",NA,4.99999971475782,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,1,0,NA,NA
"155","Akita","2020-07-22",NA,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"156","Akita","2020-08-15",NA,0.248848610783373,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,NA,NA
"157","Akita","2020-06-25",NA,4.999999999916,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1,0,NA,NA
"158","Akita","2020-06-28",NA,4.99999999997671,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1,0,NA,NA
"159","Akita","2020-06-10",NA,4.99999982857863,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,1,0,NA,NA
"160","Akita","2020-07-20",NA,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"161","Akita","2020-07-14",NA,4.99999999999916,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"162","Akita","2020-06-26",NA,4.9999999999448,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1,0,NA,NA
"163","Akita","2020-06-29",NA,4.99999999998252,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1,0,NA,NA
"164","Akita","2020-04-10",NA,0.453685713712394,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"165","Akita","2020-08-05",NA,0.178842440725844,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"166","Akita","2020-08-11",3.22878275992456,0.76103139484029,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.235702260395516,1.17210521169454
"167","Akita","2020-06-12",NA,4.99999993827867,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,1,0,NA,NA
"168","Akita","2020-04-02",NA,2.67668007115256,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"169","Akita","2020-07-13",NA,4.99999999999902,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"170","Akita","2020-08-12",2.71323618330701,0.62245907015754,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.229415733870562,0.99814208602733
"171","Akita","2020-07-19",NA,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"172","Akita","2020-06-04",NA,4.99999642264211,0,1,1,0,0.5,0,1,0,0,0,0,0,1,1,1,NA,NA
"173","Akita","2020-07-05",NA,4.99999999999499,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"174","Akita","2020-08-13",2.29968595657635,0.514225412580634,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.223606797749979,0.832772572993607
"175","Akita","2020-07-26",NA,8.60577606513792,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"176","Akita","2020-04-21",NA,0.297817134081127,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,NA
"177","Akita","2020-04-24",NA,0.264745752457103,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,NA
"178","Akita","2020-07-21",NA,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"179","Akita","2020-07-18",NA,4.99999999999998,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"180","Akita","2020-07-12",NA,4.99999999999898,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"181","Akita","2020-05-19",NA,4.99112623038375,0,1,1,1,0.5,1,1,0,0,0,1,1,1,1,1,NA,NA
"182","Akita","2020-08-06",NA,0.173992004917663,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"183","Akita","2020-07-10",NA,4.99999999999709,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
"184","Akita","2020-06-07",NA,4.99999921277824,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,1,0,NA,NA
"185","Akita","2020-04-23",NA,0.237785211552451,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NA,NA
"186","Akita","2020-07-31",NA,1.48856725901259,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA
