MSA,gdp2017
"Santa Maria-Santa Barbara, CA","26,135"
"Santa Rosa, CA","28,673"
"Savannah, GA","18,533"
"Scranton--Wilkes-Barre--Hazleton, PA","23,688"
"Seattle-Tacoma-Bellevue, WA","356,572"
"Sebastian-Vero Beach, FL","5,472"
"Sebring, FL","2,090"
"Sheboygan, WI","6,675"
"Sherman-Denison, TX","4,407"
"Shreveport-Bossier City, LA","22,746"
"Sierra Vista-Douglas, AZ","3,995"
"Sioux City, IA-NE-SD","9,814"
"Sioux Falls, SD","19,700"
"South Bend-Mishawaka, IN-MI","14,225"
"Spartanburg, SC","15,990"
"Spokane-Spokane Valley, WA","25,498"
"Springfield, IL","10,250"
"Springfield, MA","27,886"
"Springfield, MO","19,528"
"Springfield, OH","4,531"
"State College, PA","9,041"
"Staunton-Waynesboro, VA","5,136"
"Stockton-Lodi, CA","27,089"
"Sumter, SC","3,872"
"Syracuse, NY","33,634"
"Tallahassee, FL","16,164"
"Tampa-St. Petersburg-Clearwater, FL","146,349"
"Terre Haute, IN","6,534"
"Texarkana, TX-AR","5,402"
"The Villages, FL","2,804"
"Toledo, OH","33,694"
"Topeka, KS","10,655"
"Trenton, NJ","29,987"
"Tucson, AZ","39,034"
"Tulsa, OK","57,747"
"Tuscaloosa, AL","11,716"
"Twin Falls, ID","4,212"
"Tyler, TX","14,410"
"Urban Honolulu, HI","67,495"
"Utica-Rome, NY","11,071"
"Valdosta, GA","5,115"
"Vallejo-Fairfield, CA","21,422"
"Victoria, TX","5,076"
"Vineland-Bridgeton, NJ","5,828"
"Virginia Beach-Norfolk-Newport News, VA-NC","94,855"
"Visalia-Porterville, CA","15,360"
"Waco, TX","12,224"
"Walla Walla, WA","2,907"
"Warner Robins, GA","7,163"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","529,990"
"Waterloo-Cedar Falls, IA","10,029"
"Watertown-Fort Drum, NY","5,942"
"Wausau, WI","8,210"
"Weirton-Steubenville, WV-OH","4,223"
"Wenatchee, WA","5,281"
"Wheeling, WV-OH","8,219"
"Wichita, KS","33,840"
"Wichita Falls, TX","6,784"
"Williamsport, PA","4,993"
"Wilmington, NC","14,350"
"Winchester, VA-WV","6,785"
"Winston-Salem, NC","29,749"
"Worcester, MA-CT","43,750"
"Yakima, WA","9,687"
"York-Hanover, PA","19,383"
"Youngstown-Warren-Boardman, OH-PA","19,755"
"Yuba City, CA","6,024"
"Yuma, AZ","7,095"
