CBSA_code,MSA,Median,Under18,y18to24,y25to34,y35to44,y45to54,y55to64,y65to74,y75,,,,,,,,,
19180,"Danville, IL",39.8,"19,928 ","6,589 ","9,696 ","9,641 ","11,841 ","10,628 ","6,952 ","6,350 ",,,,,,,,,
19260,"Danville, VA",43.7,"22,747 ","8,600 ","10,988 ","12,904 ","16,743 ","15,448 ","10,266 ","8,865 ",,,,,,,,,
19340,"Davenport-Moline-Rock Island, IA-IL",39.4,"89,568 ","33,106 ","47,688 ","46,471 ","56,129 ","49,617 ","29,682 ","27,429 ",,,,,,,,,
19380,"Dayton, OH",39.2,"193,418 ","85,082 ","102,056 ","102,943 ","124,866 ","107,939 ","65,588 ","59,610 ",,,,,,,,,
19460,"Decatur, AL",39.3,"36,588 ","12,875 ","18,856 ","20,805 ","23,466 ","19,369 ","12,709 ","9,161 ",,,,,,,,,
19500,"Decatur, IL",40.3,"25,284 ","10,352 ","12,988 ","12,795 ","16,297 ","14,910 ","9,079 ","9,063 ",,,,,,,,,
19660,"Deltona-Daytona Beach-Ormond Beach, FL",45.3,"93,273 ","44,699 ","50,842 ","56,611 ","74,193 ","70,686 ","53,767 ","50,522 ",,,,,,,,,
19740,"Denver-Aurora-Broomfield, CO",35.7,"634,459 ","219,552 ","390,192 ","377,363 ","375,183 ","291,177 ","143,753 ","111,803 ",,,,,,,,,
19780,"Des Moines-West Des Moines, IA",35.2,"148,053 ","49,592 ","85,781 ","79,541 ","80,224 ","62,763 ","33,864 ","29,815 ",,,,,,,,,
19820,"Detroit-Warren-Livonia, MI",39.1,"1,043,759 ","371,219 ","506,250 ","593,106 ","675,497 ","539,318 ","295,739 ","271,362 ",,,,,,,,,
20020,"Dothan, AL",39.6,"34,835 ","11,858 ","17,591 ","18,765 ","21,213 ","18,984 ","12,602 ","9,791 ",,,,,,,,,
20100,"Dover, DE",36.6,"40,379 ","17,783 ","20,017 ","20,570 ","23,177 ","18,402 ","12,699 ","9,283 ",,,,,,,,,
20220,"Dubuque, IA",38.6,"22,252 ","9,896 ","11,119 ","10,911 ","13,685 ","11,435 ","7,122 ","7,233 ",,,,,,,,,
20260,"Duluth, MN-WI",40.6,"57,388 ","32,243 ","33,089 ","31,573 ","42,911 ","39,073 ","21,906 ","21,588 ",,,,,,,,,
20500,"Durham-Chapel Hill, NC",35.0,"111,245 ","63,538 ","77,072 ","68,685 ","68,849 ","58,338 ","31,200 ","25,430 ",,,,,,,,,
20740,"Eau Claire, WI",36.3,"35,581 ","21,742 ","21,014 ","18,979 ","22,883 ","19,582 ","10,886 ","10,484 ",,,,,,,,,
20940,"El Centro, CA",31.9,"51,098 ","19,040 ","24,197 ","22,941 ","22,497 ","16,603 ","9,791 ","8,361 ",,,,,,,,,
21060,"Elizabethtown, KY",35.5,"30,791 ","11,626 ","16,633 ","15,849 ","17,791 ","13,224 ","7,794 ","6,028 ",,,,,,,,,
